ligne,station,ordre,correspondance,latitude,longitude
RER A 1,Cergy le Haut,1,,49.04787620336900,2.0109997600036300
RER A 1,Cergy Saint-Christophe,2,,49.049647005256400,2.034294461852660
RER A 1,Cergy Préfecture,3,,49.036463980725400,2.079534939997370
RER A 1,Neuville Université,4,,49.01413368498300,2.078306591409990
RER A 1,Conflans Fin d’Oise,5,,48.99033259105300,2.073955308732420
RER A 1,Achères Ville,6,,48.97066504832260,2.0777317645656000
RER A 1,Maisons Laffitte,7,,48.94550297190670,2.1450174376542600
RER A 1,Sartrouville,8,,48.93773606341460,2.1570864964698200
RER A 1,Houilles Carrières sur Seine,9,,48.92037937392440,2.185353376302860
RER A 1,Nanterre – Préfecture,10,,48.89574531120740,2.2232129684066600
RER A 1,La Défense Grande Arche,11,METRO 1,48.89218707644950,2.237018056395010
RER A 1,Charles de Gaulle – Étoile,12,"METRO 1, METRO 2, METRO 6",48.87481054112290,2.2958012223518700
RER A 1,Auber,13,"METRO 3, METRO 7, METRO 8, METRO 9, RER E",48.87215749487710,2.329927170608280
RER A 1,Châtelet,14,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",48.85763141070010,2.3480365654004000
RER A 1,Paris-Gare de Lyon,15,"METRO 1, METRO 14, RER D",48.84476017126670,2.373593653262280
RER A 1,Nation,16,"METRO 1, METRO 2, METRO 6, METRO 9",48.84823711041020,2.395823588826130
RER A 1,Vincennes,17,,48.84445639456910,2.440439978057250
RER A 1,Fontenay sous Bois,18,,48.84379435193280,2.463501419487550
RER A 1,Nogent sur Marne,19,,48.83428889889620,2.471681242571030
RER A 1,Joinville le Pont,20,,48.82103881506320,2.4638567953623200
RER A 1,Saint-Maur – Créteil,21,,48.80620002476370,2.4727204038021700
RER A 1,Le Parc de Saint-Maur,22,,48.80537766216150,2.4863497487790700
RER A 1,Champigny,23,,48.80698507164630,2.510307237115640
RER A 1,La varenne Chennevières,24,,48.79538383561480,2.513423298184710
RER A 1,Sucy Bonneuil,25,,48.77170790696430,2.507482645714310
RER A 1,Boissy Saint Léger,26,,48.75218572078870,2.504559838342840
RER A 2,Poissy,1,,48.93326540612860,2.041072289675930
RER A 2,Achères Grand Cormier,2,,48.95540224453110,2.093521901580610
RER A 2,Maisons Laffitte,3,,48.94550297190670,2.1450174376542600
RER A 2,Sartrouville,4,,48.93773606341460,2.1570864964698200
RER A 2,Houilles Carrières sur Seine,5,,48.92037937392440,2.185353376302860
RER A 2,Nanterre – Préfecture,6,,48.89574531120740,2.2232129684066600
RER A 2,La Défense Grande Arche,7,METRO 1,48.89218707644950,2.237018056395010
RER A 2,Charles de Gaulle – Étoile,8,"METRO 1, METRO 2, METRO 6",48.87481054112290,2.2958012223518700
RER A 2,Auber,9,"METRO 3, METRO 7, METRO 8, METRO 9, RER E",48.87215749487710,2.329927170608280
RER A 2,Châtelet,10,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",48.85763141070010,2.3480365654004000
RER A 2,Paris-Gare de Lyon,11,"METRO 1, METRO 14, RER D",48.84476017126670,2.373593653262280
RER A 2,Nation,12,"METRO 1, METRO 2, METRO 6, METRO 9",48.84823711041020,2.395823588826130
RER A 2,Vincennes,13,,48.84445639456910,2.440439978057250
RER A 2,Fontenay sous Bois,14,,48.84379435193280,2.463501419487550
RER A 2,Nogent sur Marne,15,,48.83428889889620,2.471681242571030
RER A 2,Joinville le Pont,16,,48.82103881506320,2.4638567953623200
RER A 2,Saint-Maur – Créteil,17,,48.80620002476370,2.4727204038021700
RER A 2,Le Parc de Saint-Maur,18,,48.80537766216150,2.4863497487790700
RER A 2,Champigny,19,,48.80698507164630,2.510307237115640
RER A 2,La varenne Chennevières,20,,48.79538383561480,2.513423298184710
RER A 2,Sucy Bonneuil,21,,48.77170790696430,2.507482645714310
RER A 2,Boissy Saint Léger,22,,48.75218572078870,2.504559838342840
RER A 3,Saint Germain en Laye,1,,48.90171349442860,2.0952137438353400
RER A 3,Le Vésinet – Le Pecq,2,,48.89797344633640,2.122117447472970
RER A 3,Le Vésinet – Centre,3,,48.89008623555390,2.134600875228720
RER A 3,Chatou-Croissy,4,,48.88521121820850,2.155903471896520
RER A 3,Rueil Malmaison,5,,48.88757361863880,2.172579447718420
RER A 3,Nanterre Ville,6,,48.89512589133460,2.195363986912900
RER A 3,Nanterre Université,7,,48.90101049575470,2.2135566086399600
RER A 3,Nanterre – Préfecture,8,,48.89574531120740,2.2232129684066600
RER A 3,La Défense Grande Arche,9,METRO 1,48.89218707644950,2.237018056395010
RER A 3,Charles de Gaulle – Étoile,10,"METRO 1, METRO 2, METRO 6",48.87481054112290,2.2958012223518700
RER A 3,Auber,11,"METRO 3, METRO 7, METRO 8, METRO 9, RER E",48.87215749487710,2.329927170608280
RER A 3,Châtelet,12,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",48.85763141070010,2.3480365654004000
RER A 3,Paris-Gare de Lyon,13,"METRO 1, METRO 14, RER D",48.84476017126670,2.373593653262280
RER A 3,Nation,14,"METRO 1, METRO 2, METRO 6, METRO 9",48.84823711041020,2.395823588826130
RER A 3,Vincennes,15,,48.84445639456910,2.440439978057250
RER A 3,Fontenay sous Bois,16,,48.84379435193280,2.463501419487550
RER A 3,Nogent sur Marne,17,,48.83428889889620,2.471681242571030
RER A 3,Joinville le Pont,18,,48.82103881506320,2.4638567953623200
RER A 3,Saint-Maur – Créteil,19,,48.80620002476370,2.4727204038021700
RER A 3,Le Parc de Saint-Maur,20,,48.80537766216150,2.4863497487790700
RER A 3,Champigny,21,,48.80698507164630,2.510307237115640
RER A 3,La varenne Chennevières,22,,48.79538383561480,2.513423298184710
RER A 3,Sucy Bonneuil,23,,48.77170790696430,2.507482645714310
RER A 3,Boissy Saint Léger,24,,48.75218572078870,2.504559838342840
RER A 4,Cergy le Haut,1,,49.04787620336900,2.0109997600036300
RER A 4,Cergy Saint-Christophe,2,,49.049647005256400,2.034294461852660
RER A 4,Cergy Préfecture,3,,49.036463980725400,2.079534939997370
RER A 4,Neuville Université,4,,49.01413368498300,2.078306591409990
RER A 4,Conflans Fin d’Oise,5,,48.99033259105300,2.073955308732420
RER A 4,Achères Ville,6,,48.97066504832260,2.0777317645656000
RER A 4,Maisons Laffitte,7,,48.94550297190670,2.1450174376542600
RER A 4,Sartrouville,8,,48.93773606341460,2.1570864964698200
RER A 4,Houilles Carrières sur Seine,9,,48.92037937392440,2.185353376302860
RER A 4,Nanterre – Préfecture,10,,48.89574531120740,2.2232129684066600
RER A 4,La Défense Grande Arche,11,METRO 1,48.89218707644950,2.237018056395010
RER A 4,Charles de Gaulle – Étoile,12,"METRO 1, METRO 2, METRO 6",48.87481054112290,2.2958012223518700
RER A 4,Auber,13,"METRO 3, METRO 7, METRO 8, METRO 9, RER E",48.87215749487710,2.329927170608280
RER A 4,Châtelet,14,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",48.85763141070010,2.3480365654004000
RER A 4,Paris-Gare de Lyon,15,"METRO 1, METRO 14, RER D",48.84476017126670,2.373593653262280
RER A 4,Nation,16,"METRO 1, METRO 2, METRO 6, METRO 9",48.84823711041020,2.395823588826130
RER A 4,Vincennes,17,,48.84445639456910,2.440439978057250
RER A 4,Val de Fontenay,18,RER E,48.84379435193280,2.463501419487550
RER A 4,Neuilly Plaisance,19,,48.85290746280480,2.5143124384334400
RER A 4,Bry sur Marne,20,,48.84519309666400,2.525615908439550
RER A 4,Noisy le Grand Mont d’Est,21,,48.8408443721592,2.549900487641350
RER A 4,Noisy Champs,22,,48.84288484082360,2.5800859119743600
RER A 4,Noisiel,23,,48.84350923944820,2.616678624694600
RER A 4,Lognes,24,,48.83921929995170,2.6332109134176300
RER A 4,Torcy,25,,48.83964551726300,2.655130086641310
RER A 4,Bussy Saint-Georges,26,,48.83653643294520,2.708981742262280
RER A 4,Val d’Europe,27,,48.85571218259820,2.7739114636634600
RER A 4,Marne la Vallée Chessy,28,,48.87052333273610,2.7833330594938300
RER A 5,Poissy,1,,48.93326540612860,2.041072289675930
RER A 5,Achères Grand Cormier,2,,48.95540224453110,2.093521901580610
RER A 5,Maisons Laffitte,3,,48.94550297190670,2.1450174376542600
RER A 5,Sartrouville,4,,48.93773606341460,2.1570864964698200
RER A 5,Houilles Carrières sur Seine,5,,48.92037937392440,2.185353376302860
RER A 5,Nanterre – Préfecture,6,,48.89574531120740,2.2232129684066600
RER A 5,La Défense Grande Arche,7,METRO 1,48.89218707644950,2.237018056395010
RER A 5,Charles de Gaulle – Étoile,8,"METRO 1, METRO 2, METRO 6",48.87481054112290,2.2958012223518700
RER A 5,Auber,9,"METRO 3, METRO 7, METRO 8, METRO 9, RER E",48.87215749487710,2.329927170608280
RER A 5,Châtelet,10,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",48.85763141070010,2.3480365654004000
RER A 5,Paris-Gare de Lyon,11,"METRO 1, METRO 14, RER D",48.84476017126670,2.373593653262280
RER A 5,Nation,12,"METRO 1, METRO 2, METRO 6, METRO 9",48.84823711041020,2.395823588826130
RER A 5,Vincennes,13,,48.84445639456910,2.440439978057250
RER A 5,Val de Fontenay,14,RER E,48.84379435193280,2.463501419487550
RER A 5,Neuilly Plaisance,15,,48.85290746280480,2.5143124384334400
RER A 5,Bry sur Marne,16,,48.84519309666400,2.525615908439550
RER A 5,Noisy le Grand Mont d’Est,17,,48.8408443721592,2.549900487641350
RER A 5,Noisy Champs,18,,48.84288484082360,2.5800859119743600
RER A 5,Noisiel,19,,48.84350923944820,2.616678624694600
RER A 5,Lognes,20,,48.83921929995170,2.6332109134176300
RER A 5,Torcy,21,,48.83964551726300,2.655130086641310
RER A 5,Bussy Saint-Georges,22,,48.83653643294520,2.708981742262280
RER A 5,Val d’Europe,23,,48.85571218259820,2.7739114636634600
RER A 5,Marne la Vallée Chessy,24,,48.87052333273610,2.7833330594938300
RER A 6,Saint Germain en Laye,1,,48.90171349442860,2.0952137438353400
RER A 6,Le Vésinet – Le Pecq,2,,48.89797344633640,2.122117447472970
RER A 6,Le Vésinet – Centre,3,,48.89008623555390,2.134600875228720
RER A 6,Chatou-Croissy,4,,48.88521121820850,2.155903471896520
RER A 6,Rueil Malmaison,5,,48.88757361863880,2.172579447718420
RER A 6,Nanterre Ville,6,,48.89512589133460,2.195363986912900
RER A 6,Nanterre Université,7,,48.90101049575470,2.2135566086399600
RER A 6,Nanterre – Préfecture,8,,48.89574531120740,2.2232129684066600
RER A 6,La Défense Grande Arche,9,METRO 1,48.89218707644950,2.237018056395010
RER A 6,Charles de Gaulle – Étoile,10,"METRO 1, METRO 2, METRO 6",48.87481054112290,2.2958012223518700
RER A 6,Auber,11,"METRO 3, METRO 7, METRO 8, METRO 9, RER E",48.87215749487710,2.329927170608280
RER A 6,Châtelet,12,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",48.85763141070010,2.3480365654004000
RER A 6,Paris-Gare de Lyon,13,"METRO 1, METRO 14, RER D",48.84476017126670,2.373593653262280
RER A 6,Nation,14,"METRO 1, METRO 2, METRO 6, METRO 9",48.84823711041020,2.395823588826130
RER A 6,Vincennes,15,,48.84445639456910,2.440439978057250
RER A 6,Val de Fontenay,16,RER E,48.84379435193280,2.463501419487550
RER A 6,Neuilly Plaisance,17,,48.85290746280480,2.5143124384334400
RER A 6,Bry sur Marne,18,,48.84519309666400,2.525615908439550
RER A 6,Noisy le Grand Mont d’Est,19,,48.8408443721592,2.549900487641350
RER A 6,Noisy Champs,20,,48.84288484082360,2.5800859119743600
RER A 6,Noisiel,21,,48.84350923944820,2.616678624694600
RER A 6,Lognes,22,,48.83921929995170,2.6332109134176300
RER A 6,Torcy,23,,48.83964551726300,2.655130086641310
RER A 6,Bussy Saint-Georges,24,,48.83653643294520,2.708981742262280
