ligne,station,ordre,correspondance,latitude,longitude
RER A 1,La Défense Grande Arche,1,METRO 1,48.89218707644950,2.237018056395010
RER A 1,Charles de Gaulle – Étoile,2,"METRO 1, METRO 2, METRO 6",48.87481054112290,2.2958012223518700
RER A 1,Auber,3,"METRO 3, METRO 7, METRO 8, METRO 9, RER E",48.87215749487710,2.329927170608280
RER A 1,Châtelet,4,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",48.85763141070010,2.3480365654004000
RER A 1,Paris-Gare de Lyon,5,"METRO 1, METRO 14, RER D",48.84476017126670,2.373593653262280
RER A 1,Nation,6,"METRO 1, METRO 2, METRO 6, METRO 9",48.84823711041020,2.395823588826130
RER A 1,Vincennes,7,,48.84445639456910,2.440439978057250
RER B 1,La Courneuve - Aubervilliers,1,,48.92435387966090,2.386388291064690
RER B 1,La Plaine - Stade de France,2,,48.91800820579240,2.362470767055210
RER B 1,Gare du Nord,3,"RER D, RER E, Métro 2, Métro 4, Métro 5",48.87979369411630,2.355791907531140
RER B 1,Châtelet,4,"RER A, RER D, Métro 1, Métro 4, Métro 7, Métro 11, Métro 14",48.85763141070010,2.3480365654004000
RER B 1,Saint-Michel - Notre-Dame,5,"RER C, Métro 10",48.85353290071980,2.3452883321974300
RER B 1,Luxembourg,6,,48.84543415048040,2.339762849560480
RER B 1,Port-Royal,7,,48.840033787418100,2.3370964308800900
RER B 1,Denfert-Rochereau,8,"Métro 4, Métro 6",48.8342929804732,2.33285230996089
RER B 1,Cité Universitaire,9,,48.82035003419020,2.3385807496410000
RER B 1,Gentilly,10,,48.81522993471630,2.340891132444600
RER B 1,Laplace,11,,48.80829658863140,2.334354309639650
RER B 1,Arcueil - Cachan,12,,48.79889250008070,2.328136923064750
RER C 1,Les Grésillons,1,,48.92087280435660,2.313835382457720
RER C 1,Saint-Ouen,2,METRO 14,48.9045663899011,2.3226263683342300
RER C 1,Porte de Clichy,3,"14,METRO 13, METRO 14",48.8946243340091,2.3142338462894300
RER C 1,Péreire Levallois,4,METRO 3,48.88489625515050,2.297724346480180
RER C 1,Neuilly Porte Maillot,5,"16,METRO 1, RER E",48.87793268655630,2.282976188020840
RER C 1,Avenue Foch,6,METRO 2,48.86983048899630,2.274808153642230
RER C 1,Avenue Henri Martin,7,METRO 9,48.86546235708390,2.2721593819194100
RER C 1,Boulainvilliers,8,METRO 9,48.85697199584850,2.2747933246088800
RER C 1,Avenue du Président Kennedy,9,,48.85347987411440,2.280456465295620
RER C 1,Champ de Mars,10,METRO 6,48.85645721154180,2.2898035182585
RER C 4,Meudon Val Fleury,1,,48.80749262578010,2.240883069335650
RER C 4,Issy,2,,48.8193439626066,2.257893897515080
RER C 4,Issy Val de Seine,3,,48.81423944550170,2.274489672177880
RER C 4,Pont du Garigliano,4,,48.83908975543000,2.2704582437872400
RER C 4,Javel,5,METRO 10,48.84715690155800,2.278036281995910
RER C 4,Champ de Mars,6,METRO 6,48.85645721154180,2.2898035182585
RER C 4,Pont de l’Alma,7,METRO 9,48.86266245169440,2.300989969386770
RER C 4,Invalides,8,"12,METRO 8, METRO 13",48.86002845820200,2.3139151192031500
RER C 4,Musée d’Orsay,9,METRO 12,48.86035143402620,2.3267597744418100
RER C 4,Saint-Michel Notre Dame,10,"14,RER B, METRO 4, METRO 10",48.85353290071980,2.3452883321974300
RER C 4,Paris Austerlitz,11,"15,METRO 5, METRO 10",48.842436797924800,2.365184811993380
RER C 4,Bibliothèque François Mitterrand,12,METRO 14,48.82999019989920,2.375747983215600
RER C 4,Ivry sur Seine,13,METRO 7,48.81398905200950,2.3916869716625400
RER C 4,Vitry sur Seine,14,,48.80020939834460,2.40271281718153
RER D 1,Saint-Denis,1,,48.91756717658460,2.350389537889770
RER D 1,Stade de France Saint-Denis,2,METRO 14,48.91756717658460,2.350389537889770
RER D 1,Paris Gare du Nord,3,"RER B, RER E, METRO 2, METRO 4, MTERO 5, METRO 7",48.87979369411630,2.355791907531140
RER D 1,Châtelet,4,"RER A, RER B, METRO 1, METRO 4, METRO 7, METRO 11, METRO 14",48.85763141070010,2.3480365654004000
RER D 1,Paris Gare de Lyon,5,"RER A, METRO 1, METRO 14",48.84476017126670,2.373593653262280
RER D 1,Maisons Alfort Alfortville,6,,48.80204938032390,2.426482408484050
RER E 1,La Défense Grande Arche,1,"RER A, METRO 1",48.89218707644950,2.237018056395010
RER E 1,Neuilly - Porte Maillot,2,"RER C, METRO 1",48.87793268655630,2.282976188020840
RER E 1,Saint-Lazare,3,"RER A, METRO 3, METRO 9, METRO 12, METRO 13, METRO 14",48.87515128791020,2.324380555428910
RER E 1,Magenta,4,"RER B, RER D, METRO 2, METRO 4, METRO 5",48.87979369411630,2.355791907531140
RER E 1,Rosa Parks,5,,48.897552809900400,2.3733837959986000
RER E 1,Pantin,6,,48.8981123062804,2.400361703159180
RER E 1,Noisy le Sec,7,,48.89665245114410,2.458363412015990
METRO 1,La Défense (Grande Arche),1,RER A,48.89169615831560,2.2389893182581800
METRO 1,Esplanade de la Défense,2,,48.88813847761220,2.249792769009770
METRO 1,Pont de Neuilly,3,,48.88470820133100,2.260515079251700
METRO 1,Les Sablons,4,,48.88101649749110,2.272238940611060
METRO 1,Porte Maillot,5,RER C,48.87793268655630,2.282976188020840
METRO 1,Argentine,6,,48.87533684211650,2.290127508824700
METRO 1,Charles de Gaulle – Etoile,7,"METRO 2, METRO 6, RER A",48.87481054112290,2.2958012223518700
METRO 1,George V,8,,48.872023810399700,2.3005604512367200
METRO 1,Franklin D. Roosevelt,9,METRO 9,48.86869984735290,2.309505157337890
METRO 1,Champs-Élysées – Clemenceau,10,METRO 13,48.86760214522150,2.3138941304816100
METRO 1,Concorde,11,"METRO 8, METRO 12",48.86628580458390,2.322943412243540
METRO 1,Tuileries,12,,48.86434377873390,2.330129877112860
METRO 1,Palais Royal – Musée du Louvre,13,METRO 7,48.86234803084030,2.336496460942480
METRO 1,Louvre – Rivoli,14,,48.8608062912721,2.3411085916340700
METRO 1,Châtelet,15,"METRO 4, METRO 7, METRO 11, METRO 14, RER A, RER B, RER D",48.85763141070010,2.3480365654004000
METRO 1,Hôtel de Ville,16,METRO 11,48.85747798252940,2.3515775629950000
METRO 1,Saint-Paul,17,,48.85523625280240,2.360956490023830
METRO 1,Bastille,18,"METRO 5, METRO 8",48.85343942756840,2.3695135681565300
METRO 1,Gare de Lyon,19,"METRO 14, RER A, RER D",48.84476017126670,2.373593653262280
METRO 1,Reuilly – Diderot,20,METRO 8,48.84712872224060,2.387025242098630
METRO 1,Nation,21,"METRO 2, METRO 6, METRO 9, RER A",48.84823711041020,2.395823588826130
